Row Labels,Sum of Cocaine,Sum of Heroin,Sum of Opioids
2016,494430,247614,190403
AK,54,939,856
CT,2814,8989,6591
GA,5886,11167,8077
HI,0,0,653
IA,6295,2546,1347
IL,8610,21482,11654
MA,11094,18809,17382
MD,12174,15894,13737
ME,13254,2786,2923
NC,16062,16180,12404
NH,17130,3715,4515
NM,18798,4529,2776
NV,19878,6050,4005
NY,20958,19555,15165
OH,22002,36622,27915
OK,23082,6161,4485
OR,24162,4433,2508
RI,25242,2804,2854
SC,26322,6860,5866
SD,0,0,135
TN,27366,13411,11450
UT,30042,6151,5419
VA,31122,11147,8947
VT,32178,1077,816
WA,33258,10522,5396
WI,31361,8438,5675
WV,35286,7347,6852
2017,503888,243521,255087
AK,198,1044,729
AZ,539,5836,3963
CT,2958,9025,9380
GA,6030,10308,9723
HI,0,0,269
IA,7686,2332,1806
IL,8754,22635,17382
MA,11238,16019,20853
MD,12318,17043,21609
ME,13398,2665,3632
MO,1227,312,833
NC,16206,16220,17182
NH,17274,2926,4928
NM,18942,3980,2904
NV,20022,4947,3688
NY,21102,18996,20901
OH,22146,37099,45007
OK,23226,5282,4431
OR,24306,3742,2478
RI,25386,2110,3210
SC,26466,6552,7239
SD,0,0,377
TN,27510,12037,12694
UT,30186,4659,4409
VA,31266,11497,11731
VT,32322,1103,1143
WA,33402,8481,5129
WI,34350,9313,7788
WV,35430,7358,9344
WY,0,0,325
2018,548741,262780,311024
AK,212,525,755
AZ,1038,10716,8555
CO,865,3484,1803
CT,3102,8057,10410
DE,4015,2651,2906
GA,6174,8998,9008
HI,5103,1146,386
IA,7830,1858,1769
IL,8898,21982,22042
KY,9570,8029,10616
MA,11382,14441,22983
MD,12462,15154,24569
ME,13542,2391,3826
MI,3534,7799,5577
MO,6150,5501,4786
NC,16350,15049,19605
NH,17418,3234,4988
NJ,10521,14778,15449
NM,19086,3441,2850
NV,20166,4415,3753
NY,21246,15995,20412
OH,22290,26595,39873
