Year,State,Cocaine,Heroin,Opioids,state_name
2016,AK,54,939,856,Alaska
2016,CT,2814,8989,6591,Connecticut
2016,GA,5886,11167,8077,Georgia
2016,HI,0,0,653,Hawaii
2016,IA,6295,2546,1347,Iowa
2016,IL,8610,21482,11654,Illinois
2016,MA,11094,18809,17382,Massachusetts
2016,MD,12174,15894,13737,Maryland
2016,ME,13254,2786,2923,Maine
2016,NC,16062,16180,12404,North Carolina
2016,NH,17130,3715,4515,New Hampshire
2016,NM,18798,4529,2776,New Mexico
2016,NV,19878,6050,4005,Nevada
2016,NY,20958,19555,15165,New York
2016,OH,22002,36622,27915,Ohio
2016,OK,23082,6161,4485,Oklahoma
2016,OR,24162,4433,2508,Oregon
2016,RI,25242,2804,2854,Rhode Island
2016,SC,26322,6860,5866,South Carolina
2016,SD,0,0,135,South Dakota
2016,TN,27366,13411,11450,Tennessee
2016,UT,30042,6151,5419,Utah
2016,VA,31122,11147,8947,Virginia
2016,VT,32178,1077,816,Vermont
2016,WA,33258,10522,5396,Washington
2016,WI,31361,8438,5675,Wisconsin
2016,WV,35286,7347,6852,West Virginia
2017,AK,198,1044,729,Alaska
2017,AZ,539,5836,3963,Arizona
2017,CT,2958,9025,9380,Connecticut
2017,GA,6030,10308,9723,Georgia
2017,HI,0,0,269,Hawaii
2017,IA,7686,2332,1806,Iowa
2017,IL,8754,22635,17382,Illinois
2017,MA,11238,16019,20853,Massachusetts
2017,MD,12318,17043,21609,Maryland
2017,ME,13398,2665,3632,Maine
2017,MO,1227,312,833,Missouri
2017,NC,16206,16220,17182,North Carolina
2017,NH,17274,2926,4928,New Hampshire
2017,NM,18942,3980,2904,New Mexico
2017,NV,20022,4947,3688,Nevada
2017,NY,21102,18996,20901,New York
2017,OH,22146,37099,45007,Ohio
2017,OK,23226,5282,4431,Oklahoma
2017,OR,24306,3742,2478,Oregon
2017,RI,25386,2110,3210,Rhode Island
2017,SC,26466,6552,7239,South Carolina
2017,SD,0,0,377,South Dakota
2017,TN,27510,12037,12694,Tennessee
2017,UT,30186,4659,4409,Utah
2017,VA,31266,11497,11731,Virginia
2017,VT,32322,1103,1143,Vermont
2017,WA,33402,8481,5129,Washington
2017,WI,34350,9313,7788,Wisconsin
2017,WV,35430,7358,9344,West Virginia
2017,WY,0,0,325,Wyoming
2018,AK,212,525,755,Alaska
